time	V(y)	V(z)
0.000000000000000e+00	1.800000e+00	3.998704e-09
4.000000000000000e-20	1.692122e+00	4.360601e-09
7.657142857142861e-19	1.692233e+00	4.360211e-09
1.491428571428572e-18	1.692316e+00	4.359921e-09
2.217142857142858e-18	1.692370e+00	4.359732e-09
2.942857142857145e-18	1.692395e+00	4.359643e-09
3.668571428571431e-18	1.692392e+00	4.359654e-09
4.394285714285716e-18	1.692360e+00	4.359766e-09
5.120000000000000e-18	1.692300e+00	4.359978e-09
5.553520640000001e-12	1.692300e+00	4.359978e-09
5.556142080000000e-12	1.683462e+00	4.392295e-09
5.558108160000000e-12	1.638566e+00	4.565717e-09
5.560729600000000e-12	1.603268e+00	4.711638e-09
5.565972480000000e-12	1.568317e+00	4.865905e-09
5.576458240000000e-12	1.532465e+00	5.034885e-09
5.597429760000000e-12	1.496455e+00	5.216814e-09
5.639372800000000e-12	1.460534e+00	5.411890e-09
5.723258880000000e-12	1.424665e+00	5.621823e-09
5.891031040000000e-12	1.388803e+00	5.848646e-09
6.226575360000000e-12	1.352941e+00	6.094545e-09
6.897664000000001e-12	1.317033e+00	-8.697034e-09
8.239841280000002e-12	1.281904e+00	1.674816e-04
1.092419584000000e-11	1.245821e+00	1.575912e-03
1.629290496000000e-11	1.204218e+00	5.230376e-03
2.000000000000000e-11	1.181583e+00	8.277556e-03
2.741419007999999e-11	1.165721e+00	1.092355e-02
4.224257023999999e-11	1.137051e+00	1.689562e-02
6.224257024000000e-11	1.099641e+00	2.740453e-02
8.224257024000001e-11	1.062845e+00	4.149170e-02
1.022425702400000e-10	1.026804e+00	6.008417e-02
1.222425702400000e-10	9.915974e-01	8.465207e-02
1.422425702400000e-10	9.574206e-01	1.177140e-01
1.622425702400000e-10	9.245089e-01	1.648687e-01
1.822425702400000e-10	8.931035e-01	2.444922e-01
1.847425702400000e-10	8.893043e-01	2.602563e-01
1.897425702400000e-10	8.817726e-01	3.054834e-01
1.909925702400000e-10	8.799100e-01	3.237743e-01
1.913050702400000e-10	8.794450e-01	3.295772e-01
1.919300702400000e-10	8.785161e-01	3.443741e-01
1.920863202400000e-10	8.782842e-01	3.495483e-01
1.924085858650000e-10	8.778062e-01	3.659918e-01
1.924684003181250e-10	8.777176e-01	3.741348e-01
1.924743226356299e-10	8.777088e-01	3.776654e-01
1.924743250198157e-10	8.777087e-01	1.097977e+00
1.924743256158621e-10	8.777087e-01	1.207725e+00
1.924743268079550e-10	8.777087e-01	1.379256e+00
1.925189724537438e-10	8.776426e-01	1.386724e+00
1.925636180995325e-10	8.775764e-01	1.392988e+00
1.926082637453212e-10	8.775103e-01	1.398047e+00
1.926529093911100e-10	8.774442e-01	1.401901e+00
1.926975550368987e-10	8.773780e-01	1.404551e+00
1.927422006826874e-10	8.773119e-01	1.405997e+00
1.927868463284762e-10	8.772458e-01	1.406238e+00
1.937243463284762e-10	8.758597e-01	1.433796e+00
1.949743463284762e-10	8.740180e-01	1.455862e+00
1.974743463284762e-10	8.703571e-01	1.485849e+00
2.024743463284762e-10	8.631263e-01	1.525730e+00
2.124743463284762e-10	8.490286e-01	1.575087e+00
