time	V(y)	V(z)
0.000000000000000e+00	1.800000e+00	3.998704e-09
4.000000000000000e-20	1.692122e+00	4.360601e-09
7.657142857142861e-19	1.692233e+00	4.360211e-09
1.491428571428572e-18	1.692316e+00	4.359921e-09
2.217142857142858e-18	1.692370e+00	4.359732e-09
2.942857142857145e-18	1.692395e+00	4.359643e-09
3.668571428571431e-18	1.692392e+00	4.359654e-09
4.394285714285716e-18	1.692360e+00	4.359766e-09
5.120000000000000e-18	1.692300e+00	4.359978e-09
5.553520640000001e-12	1.692300e+00	4.359978e-09
5.556142080000000e-12	1.683462e+00	4.392295e-09
5.558108160000000e-12	1.638566e+00	4.565717e-09
5.560729600000000e-12	1.603268e+00	4.711638e-09
5.565972480000000e-12	1.568317e+00	4.865905e-09
5.576458240000000e-12	1.532465e+00	5.034885e-09
5.597429760000000e-12	1.496455e+00	5.216814e-09
5.639372800000000e-12	1.460534e+00	5.411890e-09
5.723258880000000e-12	1.424665e+00	5.621823e-09
5.891031040000000e-12	1.388803e+00	5.848646e-09
6.226575360000000e-12	1.352941e+00	6.094545e-09
6.897664000000001e-12	1.317021e+00	-8.772598e-09
8.239841280000002e-12	1.282043e+00	1.648858e-04
1.092419584000000e-11	1.246149e+00	1.556208e-03
1.629290496000000e-11	1.204490e+00	5.198615e-03
2.000000000000000e-11	1.181812e+00	8.242628e-03
2.741419007999999e-11	1.165996e+00	1.087392e-02
4.224257023999999e-11	1.137457e+00	1.679920e-02
6.224257024000000e-11	1.100280e+00	2.719543e-02
8.224257024000001e-11	1.063766e+00	4.108541e-02
1.022425702400000e-10	1.028063e+00	5.933769e-02
1.222425702400000e-10	9.932625e-01	8.331055e-02
1.422425702400000e-10	9.595703e-01	1.152767e-01
1.622425702400000e-10	9.272424e-01	1.600767e-01
1.822425702400000e-10	8.965437e-01	2.321414e-01
1.847425702400000e-10	8.928428e-01	2.454612e-01
1.897425702400000e-10	8.855174e-01	2.794960e-01
1.909925702400000e-10	8.837079e-01	2.909660e-01
1.934925702400000e-10	8.801085e-01	3.214949e-01
1.942738202400000e-10	8.789909e-01	3.361459e-01
1.946644452400000e-10	8.784330e-01	3.462347e-01
1.948206952400000e-10	8.782101e-01	3.514164e-01
1.951429608650000e-10	8.777508e-01	3.699673e-01
1.951685956306251e-10	8.777142e-01	3.749183e-01
1.951724222488196e-10	8.777088e-01	3.776736e-01
1.951724317855628e-10	8.777087e-01	1.380157e+00
1.952617186493666e-10	8.775816e-01	1.390277e+00
1.953510055131705e-10	8.774544e-01	1.398778e+00
1.954402923769744e-10	8.773274e-01	1.405661e+00
1.955295792407782e-10	8.772003e-01	1.410924e+00
1.956188661045821e-10	8.770733e-01	1.414568e+00
1.957081529683859e-10	8.769464e-01	1.416593e+00
1.957974398321898e-10	8.768195e-01	1.417000e+00
1.976724398321898e-10	8.741640e-01	1.454375e+00
2.001724398321898e-10	8.706527e-01	1.483803e+00
2.051724398321898e-10	8.637323e-01	1.522937e+00
2.151724398321898e-10	8.502957e-01	1.571324e+00
2.351724398321898e-10	8.248400e-01	1.631239e+00
2.551724398321898e-10	8.010905e-01	1.670026e+00
