time	V(y)	V(z)
0.000000000000000e+00	1.800000e+00	4.998462e-09
4.000000000000000e-20	1.692122e+00	5.450751e-09
7.657142857142861e-19	1.692233e+00	5.450264e-09
1.491428571428572e-18	1.692316e+00	5.449902e-09
2.217142857142858e-18	1.692370e+00	5.449665e-09
2.942857142857145e-18	1.692395e+00	5.449554e-09
3.668571428571431e-18	1.692392e+00	5.449568e-09
4.394285714285716e-18	1.692360e+00	5.449707e-09
5.120000000000000e-18	1.692300e+00	5.449972e-09
5.553520640000001e-12	1.692300e+00	5.449972e-09
5.556142080000000e-12	1.685230e+00	5.482289e-09
5.558108160000000e-12	1.643808e+00	5.681020e-09
5.560729600000000e-12	1.609292e+00	5.857644e-09
5.565972480000000e-12	1.574145e+00	6.049402e-09
5.576458240000000e-12	1.538215e+00	6.258747e-09
5.597429760000000e-12	1.502215e+00	6.483534e-09
5.639372800000000e-12	1.466306e+00	6.724457e-09
5.723258880000000e-12	1.430438e+00	6.983679e-09
5.891031040000000e-12	1.394575e+00	7.263639e-09
6.226575360000000e-12	1.358713e+00	7.566978e-09
6.897664000000001e-12	1.322822e+00	-8.498494e-09
8.239841280000002e-12	1.287400e+00	1.007421e-04
1.092419584000000e-11	1.251302e+00	1.579855e-03
1.629290496000000e-11	1.210816e+00	5.617008e-03
2.000000000000000e-11	1.189433e+00	8.921214e-03
2.741419007999999e-11	1.176191e+00	1.143125e-02
4.224257023999999e-11	1.152686e+00	1.684146e-02
6.224257024000000e-11	1.122305e+00	2.590903e-02
8.224257024000001e-11	1.092305e+00	3.760426e-02
1.022425702400000e-10	1.062739e+00	5.245508e-02
1.222425702400000e-10	1.033565e+00	7.127023e-02
1.422425702400000e-10	1.004879e+00	9.521130e-02
1.622425702400000e-10	9.767645e-01	1.262425e-01
1.822425702400000e-10	9.493240e-01	1.683997e-01
2.022425702400001e-10	9.226686e-01	2.322198e-01
2.047425702400000e-10	9.194024e-01	2.431855e-01
2.097425702400001e-10	9.129039e-01	2.691601e-01
2.197425702400000e-10	9.000900e-01	3.879149e-01
2.197913983650001e-10	9.000280e-01	3.933269e-01
2.198127606696875e-10	9.000009e-01	3.987198e-01
2.198134675807746e-10	9.000000e-01	3.999920e-01
2.198134699649604e-10	9.000000e-01	9.595646e-01
2.198134747333320e-10	9.000000e-01	1.402652e+00
2.199027644496438e-10	8.998867e-01	1.411380e+00
2.199920541659557e-10	8.997734e-01	1.418743e+00
2.200813438822675e-10	8.996602e-01	1.424741e+00
2.201706335985794e-10	8.995470e-01	1.429374e+00
2.202599233148913e-10	8.994338e-01	1.432642e+00
2.203492130312031e-10	8.993206e-01	1.434544e+00
2.204385027475150e-10	8.992075e-01	1.435082e+00
2.223135027475150e-10	8.968362e-01	1.468518e+00
2.248135027475150e-10	8.936886e-01	1.494936e+00
2.298135027475150e-10	8.874432e-01	1.530268e+00
2.398135027475150e-10	8.751577e-01	1.576093e+00
2.598135027475150e-10	8.514484e-01	1.630174e+00
2.798135027475150e-10	8.287996e-01	1.666827e+00
2.998135027475149e-10	8.070812e-01	1.692833e+00
3.198135027475149e-10	7.861577e-01	1.712997e+00
3.398135027475149e-10	7.658330e-01	1.729177e+00
3.598135027475149e-10	7.459446e-01	1.742432e+00
3.798135027475149e-10	7.263706e-01	1.753451e+00
3.998135027475149e-10	7.070286e-01	1.762689e+00
4.198135027475148e-10	6.878698e-01	1.770460e+00
4.398135027475148e-10	6.688701e-01	1.776990e+00
4.598135027475148e-10	6.500204e-01	1.782451e+00
4.798135027475148e-10	6.313213e-01	1.786979e+00
4.998135027475149e-10	6.127793e-01	1.790684e+00
5.198135027475149e-10	5.944059e-01	1.793656e+00
5.398135027475149e-10	5.762161e-01	1.795976e+00
5.598135027475150e-10	5.582283e-01	1.797711e+00
5.798135027475150e-10	5.404636e-01	1.798922e+00
5.998135027475150e-10	5.229447e-01	1.799662e+00
6.198135027475151e-10	5.056953e-01	1.799980e+00
6.398135027475151e-10	4.887395e-01	1.800000e+00
6.798135027475152e-10	4.557973e-01	1.800000e+00
7.198135027475152e-10	4.242780e-01	1.800000e+00
7.598135027475153e-10	3.943025e-01	1.800000e+00
