time	V(y)	V(z)
0.000000000000000e+00	1.800000e+00	3.998704e-09
4.000000000000000e-20	1.692122e+00	4.360601e-09
7.657142857142861e-19	1.692233e+00	4.360211e-09
1.491428571428572e-18	1.692316e+00	4.359921e-09
2.217142857142858e-18	1.692370e+00	4.359732e-09
2.942857142857145e-18	1.692395e+00	4.359643e-09
3.668571428571431e-18	1.692392e+00	4.359654e-09
4.394285714285716e-18	1.692360e+00	4.359766e-09
5.120000000000000e-18	1.692300e+00	4.359978e-09
5.553520640000001e-12	1.692300e+00	4.359978e-09
5.556142080000000e-12	1.683462e+00	4.392295e-09
5.558108160000000e-12	1.638566e+00	4.565717e-09
5.560729600000000e-12	1.603268e+00	4.711638e-09
5.565972480000000e-12	1.568317e+00	4.865905e-09
5.576458240000000e-12	1.532465e+00	5.034885e-09
5.597429760000000e-12	1.496455e+00	5.216814e-09
5.639372800000000e-12	1.460534e+00	5.411890e-09
5.723258880000000e-12	1.424665e+00	5.621823e-09
5.891031040000000e-12	1.388803e+00	5.848646e-09
6.226575360000000e-12	1.352941e+00	6.094545e-09
6.897664000000001e-12	1.317033e+00	-8.697057e-09
8.239841280000002e-12	1.281904e+00	1.674837e-04
1.092419584000000e-11	1.245819e+00	1.576058e-03
1.629290496000000e-11	1.204199e+00	5.232657e-03
2.000000000000000e-11	1.181547e+00	8.283098e-03
2.741419007999999e-11	1.165672e+00	1.093232e-02
4.224257023999999e-11	1.137023e+00	1.690208e-02
6.224257024000000e-11	1.099643e+00	2.740401e-02
8.224257024000001e-11	1.062867e+00	4.148200e-02
1.022425702400000e-10	1.026844e+00	6.005990e-02
1.222425702400000e-10	9.916701e-01	8.459324e-02
1.422425702400000e-10	9.575451e-01	1.175720e-01
1.622425702400000e-10	9.247144e-01	1.645011e-01
1.822425702400000e-10	8.934318e-01	2.432434e-01
1.847425702400000e-10	8.896520e-01	2.586931e-01
1.897425702400000e-10	8.821616e-01	3.023053e-01
1.909925702400000e-10	8.803100e-01	3.190126e-01
1.919300702400000e-10	8.789245e-01	3.371737e-01
1.924769452400000e-10	8.781183e-01	3.538969e-01
1.926722577400000e-10	8.778307e-01	3.645914e-01
1.927528241462500e-10	8.777122e-01	3.753940e-01
1.927551272697242e-10	8.777088e-01	3.775871e-01
1.927551368064673e-10	8.777088e-01	8.493075e-01
1.927551558799536e-10	8.777087e-01	1.379339e+00
1.927998028242721e-10	8.776430e-01	1.386725e+00
1.928444497685906e-10	8.775773e-01	1.392926e+00
1.928890967129091e-10	8.775117e-01	1.397940e+00
1.929337436572276e-10	8.774460e-01	1.401769e+00
1.929783906015461e-10	8.773803e-01	1.404411e+00
1.930230375458646e-10	8.773147e-01	1.405868e+00
1.930676844901831e-10	8.772491e-01	1.406138e+00
1.940051844901831e-10	8.758730e-01	1.433600e+00
1.952551844901831e-10	8.740450e-01	1.455590e+00
1.977551844901831e-10	8.704123e-01	1.485470e+00
2.027551844901831e-10	8.632421e-01	1.525203e+00
2.127551844901831e-10	8.492829e-01	1.574341e+00
2.327551844901831e-10	8.227078e-01	1.635177e+00
2.527551844901831e-10	7.977367e-01	1.674555e+00
