time	V(y)	V(z)
0.000000000000000e+00	1.800000e+00	4.998462e-09
4.000000000000000e-20	1.692122e+00	5.450751e-09
7.657142857142861e-19	1.692233e+00	5.450264e-09
1.491428571428572e-18	1.692316e+00	5.449902e-09
2.217142857142858e-18	1.692370e+00	5.449665e-09
2.942857142857145e-18	1.692395e+00	5.449554e-09
3.668571428571431e-18	1.692392e+00	5.449568e-09
4.394285714285716e-18	1.692360e+00	5.449707e-09
5.120000000000000e-18	1.692300e+00	5.449972e-09
5.553520640000001e-12	1.692300e+00	5.449972e-09
5.556142080000000e-12	1.685230e+00	5.482289e-09
5.558108160000000e-12	1.643808e+00	5.681020e-09
5.560729600000000e-12	1.609292e+00	5.857644e-09
5.565972480000000e-12	1.574145e+00	6.049402e-09
5.576458240000000e-12	1.538215e+00	6.258747e-09
5.597429760000000e-12	1.502215e+00	6.483534e-09
5.639372800000000e-12	1.466306e+00	6.724457e-09
5.723258880000000e-12	1.430438e+00	6.983679e-09
5.891031040000000e-12	1.394575e+00	7.263639e-09
6.226575360000000e-12	1.358713e+00	7.566978e-09
6.897664000000001e-12	1.322833e+00	-8.350359e-09
8.239841280000002e-12	1.287331e+00	1.018726e-04
1.092419584000000e-11	1.251039e+00	1.597574e-03
1.629290496000000e-11	1.210602e+00	5.645714e-03
2.000000000000000e-11	1.189264e+00	8.950924e-03
2.741419007999999e-11	1.175984e+00	1.147330e-02
4.224257023999999e-11	1.152371e+00	1.692307e-02
6.224257024000000e-11	1.121809e+00	2.607881e-02
8.224257024000001e-11	1.091594e+00	3.791907e-02
1.022425702400000e-10	1.061779e+00	5.300132e-02
1.222425702400000e-10	1.032306e+00	7.219344e-02
1.422425702400000e-10	1.003261e+00	9.676093e-02
1.622425702400000e-10	9.747164e-01	1.288897e-01
1.822425702400000e-10	9.467538e-01	1.732467e-01
2.022425702400001e-10	9.194615e-01	2.429941e-01
2.047425702400000e-10	9.161060e-01	2.555327e-01
2.097425702400001e-10	9.094220e-01	2.865010e-01
2.109925702400001e-10	9.077600e-01	2.963138e-01
2.134925702400000e-10	9.044429e-01	3.200310e-01
2.141175702400001e-10	9.036160e-01	3.275369e-01
2.153675702400001e-10	9.019638e-01	3.458146e-01
2.156800702400000e-10	9.015514e-01	3.517125e-01
2.163050702400001e-10	9.007269e-01	3.664940e-01
2.164613202400001e-10	9.005209e-01	3.716165e-01
2.167738202400000e-10	9.001091e-01	3.868822e-01
2.168543866462500e-10	9.000029e-01	3.976637e-01
2.168566015548499e-10	9.000000e-01	3.999104e-01
2.168566063232215e-10	9.000000e-01	1.028774e+00
2.168566158599646e-10	9.000000e-01	1.401903e+00
2.169459083862098e-10	8.998824e-01	1.411318e+00
2.170352009124549e-10	8.997648e-01	1.419206e+00
2.171244934387000e-10	8.996472e-01	1.425566e+00
2.172137859649451e-10	8.995296e-01	1.430399e+00
2.173030784911902e-10	8.994121e-01	1.433705e+00
2.173923710174353e-10	8.992945e-01	1.435484e+00
2.174816635436805e-10	8.991770e-01	1.435735e+00
2.193566635436805e-10	8.967130e-01	1.469776e+00
2.218566635436804e-10	8.934392e-01	1.496665e+00
2.268566635436805e-10	8.869315e-01	1.532631e+00
2.368566635436805e-10	8.740797e-01	1.579308e+00
2.568566635436805e-10	8.490500e-01	1.634576e+00
2.768566635436804e-10	8.248081e-01	1.672153e+00
2.968566635436804e-10	8.011780e-01	1.698977e+00
3.168566635436804e-10	7.779986e-01	1.719862e+00
3.368566635436804e-10	7.551342e-01	1.736596e+00
3.568566635436804e-10	7.324923e-01	1.750202e+00
3.768566635436804e-10	7.100281e-01	1.761356e+00
3.968566635436803e-10	6.877392e-01	1.770510e+00
4.168566635436803e-10	6.656537e-01	1.777992e+00
4.368566635436803e-10	6.438182e-01	1.784048e+00
4.568566635436803e-10	6.222862e-01	1.788878e+00
4.768566635436803e-10	6.011109e-01	1.792649e+00
4.968566635436803e-10	5.803398e-01	1.795503e+00
5.168566635436803e-10	5.600126e-01	1.797564e+00
5.368566635436804e-10	5.401606e-01	1.798939e+00
5.568566635436804e-10	5.208071e-01	1.799723e+00
5.768566635436804e-10	5.019683e-01	1.799998e+00
