time	V(y)	V(z)
0.000000000000000e+00	1.800000e+00	3.998704e-09
4.000000000000000e-20	1.692122e+00	4.360601e-09
7.657142857142861e-19	1.692233e+00	4.360211e-09
1.491428571428572e-18	1.692316e+00	4.359921e-09
2.217142857142858e-18	1.692370e+00	4.359732e-09
2.942857142857145e-18	1.692395e+00	4.359643e-09
3.668571428571431e-18	1.692392e+00	4.359654e-09
4.394285714285716e-18	1.692360e+00	4.359766e-09
5.120000000000000e-18	1.692300e+00	4.359978e-09
5.553520640000001e-12	1.692300e+00	4.359978e-09
5.556142080000000e-12	1.683462e+00	4.392295e-09
5.558108160000000e-12	1.638566e+00	4.565717e-09
5.560729600000000e-12	1.603268e+00	4.711638e-09
5.565972480000000e-12	1.568317e+00	4.865905e-09
5.576458240000000e-12	1.532465e+00	5.034885e-09
5.597429760000000e-12	1.496455e+00	5.216814e-09
5.639372800000000e-12	1.460534e+00	5.411890e-09
5.723258880000000e-12	1.424665e+00	5.621823e-09
5.891031040000000e-12	1.388803e+00	5.848646e-09
6.226575360000000e-12	1.352941e+00	6.094545e-09
6.897664000000001e-12	1.317045e+00	-8.611996e-09
8.239841280000002e-12	1.281762e+00	1.701487e-04
1.092419584000000e-11	1.245508e+00	1.594887e-03
1.629290496000000e-11	1.204036e+00	5.251676e-03
2.000000000000000e-11	1.181462e+00	8.296169e-03
2.741419007999999e-11	1.165514e+00	1.096090e-02
4.224257023999999e-11	1.136646e+00	1.699177e-02
6.224257024000000e-11	1.098936e+00	2.763654e-02
8.224257024000001e-11	1.061745e+00	4.198039e-02
1.022425702400000e-10	1.025177e+00	6.105923e-02
1.222425702400000e-10	9.892204e-01	8.659957e-02
1.422425702400000e-10	9.539676e-01	1.217404e-01
1.622425702400000e-10	9.194883e-01	1.742550e-01
1.822425702400000e-10	8.858500e-01	2.775759e-01
1.847425702400000e-10	8.817126e-01	3.059850e-01
1.853675702400001e-10	8.806795e-01	3.154213e-01
1.866175702400000e-10	8.786156e-01	3.425812e-01
1.869300702400000e-10	8.781002e-01	3.544264e-01
1.870081952400001e-10	8.779714e-01	3.585488e-01
1.871662762946875e-10	8.777108e-01	3.760033e-01
1.871675160712989e-10	8.777087e-01	3.776692e-01
1.871675172633918e-10	8.777087e-01	1.380244e+00
1.872568056173118e-10	8.775616e-01	1.391185e+00
1.873460939712317e-10	8.774144e-01	1.400368e+00
1.874353823251517e-10	8.772673e-01	1.407794e+00
1.875246706790717e-10	8.771202e-01	1.413461e+00
1.876139590329917e-10	8.769731e-01	1.417371e+00
1.877032473869116e-10	8.768260e-01	1.419523e+00
1.877925357408316e-10	8.766789e-01	1.419917e+00
1.896675357408316e-10	8.735950e-01	1.459997e+00
1.921675357408316e-10	8.694960e-01	1.491547e+00
1.971675357408316e-10	8.613430e-01	1.533552e+00
2.071675357408316e-10	8.452214e-01	1.585752e+00
2.271675357408316e-10	8.137553e-01	1.650483e+00
2.471675357408316e-10	7.834018e-01	1.692136e+00
2.671675357408316e-10	7.542840e-01	1.720328e+00
2.871675357408316e-10	7.265440e-01	1.741109e+00
3.071675357408316e-10	7.002886e-01	1.756665e+00
