time	V(y)	V(z)
0.000000000000000e+00	1.800000e+00	3.998704e-09
4.000000000000000e-20	1.692122e+00	4.360601e-09
7.657142857142861e-19	1.692233e+00	4.360211e-09
1.491428571428572e-18	1.692316e+00	4.359921e-09
2.217142857142858e-18	1.692370e+00	4.359732e-09
2.942857142857145e-18	1.692395e+00	4.359643e-09
3.668571428571431e-18	1.692392e+00	4.359654e-09
4.394285714285716e-18	1.692360e+00	4.359766e-09
5.120000000000000e-18	1.692300e+00	4.359978e-09
5.553520640000001e-12	1.692300e+00	4.359978e-09
5.556142080000000e-12	1.683462e+00	4.392295e-09
5.558108160000000e-12	1.638566e+00	4.565717e-09
5.560729600000000e-12	1.603268e+00	4.711638e-09
5.565972480000000e-12	1.568317e+00	4.865905e-09
5.576458240000000e-12	1.532465e+00	5.034885e-09
5.597429760000000e-12	1.496455e+00	5.216814e-09
5.639372800000000e-12	1.460534e+00	5.411890e-09
5.723258880000000e-12	1.424665e+00	5.621823e-09
5.891031040000000e-12	1.388803e+00	5.848646e-09
6.226575360000000e-12	1.352941e+00	6.094545e-09
6.897664000000001e-12	1.317045e+00	-8.612037e-09
8.239841280000002e-12	1.281762e+00	1.701531e-04
1.092419584000000e-11	1.245503e+00	1.595175e-03
1.629290496000000e-11	1.204008e+00	5.254997e-03
2.000000000000000e-11	1.181423e+00	8.302032e-03
2.741419007999999e-11	1.165485e+00	1.096615e-02
4.224257023999999e-11	1.136640e+00	1.699313e-02
6.224257024000000e-11	1.098951e+00	2.763162e-02
8.224257024000001e-11	1.061788e+00	4.196129e-02
1.022425702400000e-10	1.025261e+00	6.100821e-02
1.222425702400000e-10	9.893806e-01	8.646746e-02
1.422425702400000e-10	9.542531e-01	1.214032e-01
1.622425702400000e-10	9.199785e-01	1.733024e-01
1.822425702400000e-10	8.866655e-01	2.731790e-01
1.847425702400000e-10	8.825806e-01	2.990484e-01
1.853675702400001e-10	8.815610e-01	3.072714e-01
1.866175702400000e-10	8.795244e-01	3.283360e-01
1.869300702400000e-10	8.790160e-01	3.357087e-01
1.875550702400001e-10	8.779998e-01	3.575691e-01
1.877162030525001e-10	8.777381e-01	3.712331e-01
1.877187861475056e-10	8.777339e-01	3.712877e-01
1.877213692425112e-10	8.777297e-01	3.716261e-01
1.877239523375168e-10	8.777255e-01	3.722483e-01
1.877265354325224e-10	8.777213e-01	3.731542e-01
1.877291185275280e-10	8.777171e-01	3.743439e-01
1.877317016225335e-10	8.777129e-01	3.758174e-01
1.877342847175391e-10	8.777087e-01	3.775749e-01
1.877342847375392e-10	8.777087e-01	1.379699e+00
1.877822196461106e-10	8.776309e-01	1.387593e+00
1.878301545546820e-10	8.775530e-01	1.394232e+00
1.878780894632535e-10	8.774751e-01	1.399618e+00
1.879260243718249e-10	8.773973e-01	1.403749e+00
1.879739592803963e-10	8.773195e-01	1.406626e+00
1.880218941889678e-10	8.772416e-01	1.408248e+00
1.880698290975392e-10	8.771638e-01	1.408617e+00
1.890764620575392e-10	8.755311e-01	1.438402e+00
1.904186393375392e-10	8.733586e-01	1.462208e+00
1.931029938975392e-10	8.690294e-01	1.494498e+00
