time	V(y)	V(z)
0.000000000000000e+00	1.800000e+00	3.998704e-09
4.000000000000000e-20	1.692122e+00	4.360601e-09
7.657142857142861e-19	1.692233e+00	4.360211e-09
1.491428571428572e-18	1.692316e+00	4.359921e-09
2.217142857142858e-18	1.692370e+00	4.359732e-09
2.942857142857145e-18	1.692395e+00	4.359643e-09
3.668571428571431e-18	1.692392e+00	4.359654e-09
4.394285714285716e-18	1.692360e+00	4.359766e-09
5.120000000000000e-18	1.692300e+00	4.359978e-09
5.553520640000001e-12	1.692300e+00	4.359978e-09
5.556142080000000e-12	1.683462e+00	4.392295e-09
5.558108160000000e-12	1.638566e+00	4.565717e-09
5.560729600000000e-12	1.603268e+00	4.711638e-09
5.565972480000000e-12	1.568317e+00	4.865905e-09
5.576458240000000e-12	1.532465e+00	5.034885e-09
5.597429760000000e-12	1.496455e+00	5.216814e-09
5.639372800000000e-12	1.460534e+00	5.411890e-09
5.723258880000000e-12	1.424665e+00	5.621823e-09
5.891031040000000e-12	1.388803e+00	5.848646e-09
6.226575360000000e-12	1.352941e+00	6.094545e-09
6.897664000000001e-12	1.317057e+00	-8.517227e-09
8.239841280000002e-12	1.281616e+00	1.729262e-04
1.092419584000000e-11	1.245173e+00	1.615315e-03
1.629290496000000e-11	1.203764e+00	5.283673e-03
2.000000000000000e-11	1.181233e+00	8.331225e-03
2.741419007999999e-11	1.165238e+00	1.101090e-02
4.224257023999999e-11	1.136237e+00	1.708937e-02
6.224257024000000e-11	1.098293e+00	2.784918e-02
8.224257024000001e-11	1.060818e+00	4.239581e-02
1.022425702400000e-10	1.023909e+00	6.182850e-02
1.222425702400000e-10	9.875469e-01	8.799881e-02
1.422425702400000e-10	9.518127e-01	1.244792e-01
1.622425702400000e-10	9.167620e-01	1.797096e-01
1.822425702400000e-10	8.824469e-01	3.000688e-01
1.847425702400000e-10	8.782163e-01	3.512283e-01
1.848206952400001e-10	8.780842e-01	3.548199e-01
1.849769452400000e-10	8.778199e-01	3.648850e-01
1.850282147712500e-10	8.777332e-01	3.718238e-01
1.850302760701654e-10	8.777297e-01	3.719911e-01
1.850323373690807e-10	8.777262e-01	3.723775e-01
1.850343986679960e-10	8.777227e-01	3.729831e-01
1.850364599669113e-10	8.777192e-01	3.738077e-01
1.850385212658266e-10	8.777157e-01	3.748515e-01
1.850405825647420e-10	8.777123e-01	3.761143e-01
1.850426438636573e-10	8.777088e-01	3.775963e-01
1.850426462478431e-10	8.777087e-01	1.272637e+00
1.850426468438895e-10	8.777087e-01	1.379563e+00
1.850872903130443e-10	8.776333e-01	1.387404e+00
1.851319337821992e-10	8.775578e-01	1.393993e+00
1.851765772513540e-10	8.774823e-01	1.399330e+00
1.852212207205089e-10	8.774068e-01	1.403414e+00
1.852658641896637e-10	8.773313e-01	1.406246e+00
1.853105076588185e-10	8.772558e-01	1.407825e+00
1.853551511279734e-10	8.771803e-01	1.408153e+00
1.862926511279734e-10	8.755963e-01	1.437518e+00
1.875426511279734e-10	8.734871e-01	1.461014e+00
1.900426511279734e-10	8.692778e-01	1.492936e+00
1.950426511279734e-10	8.608971e-01	1.535426e+00
