time	V(y)	V(z)
0.000000000000000e+00	1.800000e+00	3.998704e-09
4.000000000000000e-20	1.692122e+00	4.360601e-09
7.657142857142861e-19	1.692233e+00	4.360211e-09
1.491428571428572e-18	1.692316e+00	4.359921e-09
2.217142857142858e-18	1.692370e+00	4.359732e-09
2.942857142857145e-18	1.692395e+00	4.359643e-09
3.668571428571431e-18	1.692392e+00	4.359654e-09
4.394285714285716e-18	1.692360e+00	4.359766e-09
5.120000000000000e-18	1.692300e+00	4.359978e-09
5.553520640000001e-12	1.692300e+00	4.359978e-09
5.556142080000000e-12	1.683462e+00	4.392295e-09
5.558108160000000e-12	1.638566e+00	4.565717e-09
5.560729600000000e-12	1.603268e+00	4.711638e-09
5.565972480000000e-12	1.568317e+00	4.865905e-09
5.576458240000000e-12	1.532465e+00	5.034885e-09
5.597429760000000e-12	1.496455e+00	5.216814e-09
5.639372800000000e-12	1.460534e+00	5.411890e-09
5.723258880000000e-12	1.424665e+00	5.621823e-09
5.891031040000000e-12	1.388803e+00	5.848646e-09
6.226575360000000e-12	1.352941e+00	6.094545e-09
6.897664000000001e-12	1.317057e+00	-8.517246e-09
8.239841280000002e-12	1.281616e+00	1.729285e-04
1.092419584000000e-11	1.245170e+00	1.615471e-03
1.629290496000000e-11	1.203744e+00	5.286011e-03
2.000000000000000e-11	1.181196e+00	8.336831e-03
2.741419007999999e-11	1.165190e+00	1.101970e-02
4.224257023999999e-11	1.136210e+00	1.709585e-02
6.224257024000000e-11	1.098294e+00	2.784873e-02
8.224257024000001e-11	1.060840e+00	4.238607e-02
1.022425702400000e-10	1.023950e+00	6.180372e-02
1.222425702400000e-10	9.876194e-01	8.793801e-02
1.422425702400000e-10	9.519362e-01	1.243272e-01
1.622425702400000e-10	9.169630e-01	1.792979e-01
1.822425702400000e-10	8.827633e-01	2.976790e-01
1.847425702400000e-10	8.785507e-01	3.438317e-01
1.850160077400000e-10	8.780901e-01	3.547252e-01
1.851527264900000e-10	8.778600e-01	3.631471e-01
1.852332928962500e-10	8.777243e-01	3.729958e-01
1.852425816840918e-10	8.777087e-01	3.773804e-01
1.852425817040919e-10	8.777087e-01	1.379702e+00
1.852905166612347e-10	8.776280e-01	1.387760e+00
1.853384516183776e-10	8.775473e-01	1.394535e+00
1.853863865755204e-10	8.774666e-01	1.400028e+00
1.854343215326633e-10	8.773859e-01	1.404237e+00
1.854822564898062e-10	8.773053e-01	1.407163e+00
1.855301914469490e-10	8.772246e-01	1.408806e+00
1.855781264040919e-10	8.771439e-01	1.409166e+00
1.865847593640919e-10	8.754511e-01	1.439465e+00
1.879269366440919e-10	8.731974e-01	1.463675e+00
1.906112912040919e-10	8.687016e-01	1.496512e+00
1.959800003240919e-10	8.597570e-01	1.540097e+00
2.067174185640919e-10	8.420610e-01	1.593963e+00
2.267174185640919e-10	8.098208e-01	1.656654e+00
2.467174185640919e-10	7.785810e-01	1.697384e+00
2.667174185640919e-10	7.484354e-01	1.725165e+00
2.867174185640919e-10	7.194830e-01	1.745654e+00
3.067174185640918e-10	6.917776e-01	1.760990e+00
3.267174185640918e-10	6.653863e-01	1.772487e+00
